skin,file,quality
0,sonoma-2017.csv,89.5
1,sonoma-2017.csv,90.0
1,RRV-2015.csv,92.0
1,RRV-2001.csv,91.5
0,napa-2002.csv,89.5
1,napa-2002.csv,90.0
0,napa-2016.csv,94.0
1,napa-2016.csv,94.0
0,sierra foothills-2019.csv,91.0
0,columbia valley-1997.csv,87.0
0,sierra foothills-2018.csv,93.0
0,napa-2017.csv,89.5
1,napa-2017.csv,90.0
0,napa-2003.csv,89.0
1,napa-2003.csv,85.0
1,RRV-2000.csv,89.5
1,RRV-2014.csv,94.0
0,sonoma-2016.csv,93.5
1,sonoma-2016.csv,95.0
0,sonoma-2002.csv,88.0
1,sonoma-2002.csv,88.0
0,sonoma-2014.csv,93.0
1,sonoma-2014.csv,94.0
0,sonoma-2000.csv,85.0
1,sonoma-2000.csv,87.0
1,RRV-2002.csv,93.0
1,RRV-2016.csv,94.5
0,napa-2015.csv,94.0
1,napa-2015.csv,90.0
0,napa-2001.csv,94.5
1,napa-2001.csv,90.0
0,napa-2000.csv,85.0
1,napa-2000.csv,88.0
0,napa-2014.csv,93.5
1,napa-2014.csv,92.0
1,RRV-2017.csv,92.0
1,RRV-2003.csv,90.5
0,sonoma-2001.csv,92.0
1,sonoma-2001.csv,89.0
0,sonoma-2015.csv,93.0
1,sonoma-2015.csv,92.0
0,sonoma-2011.csv,88.5
1,sonoma-2011.csv,90.0
0,sonoma-2005.csv,89.5
1,sonoma-2005.csv,95.0
1,RRV-2007.csv,94.0
1,RRV-2013.csv,94.5
0,napa-2010.csv,89.0
1,napa-2010.csv,87.0
0,napa-2004.csv,90.0
1,napa-2004.csv,85.0
0,napa-2005.csv,88.5
1,napa-2005.csv,86.0
0,napa-2011.csv,89.0
1,napa-2011.csv,87.0
1,RRV-2012.csv,94.0
1,RRV-2006.csv,86.5
0,sonoma-2004.csv,88.5
1,sonoma-2004.csv,93.0
0,sonoma-2010.csv,88.0
1,sonoma-2010.csv,92.0
0,sonoma-2006.csv,86.5
1,sonoma-2006.csv,87.0
0,sonoma-2012.csv,92.5
1,sonoma-2012.csv,90.0
1,RRV-2010.csv,90.0
1,RRV-2004.csv,93.0
0,napa-2007.csv,92.0
1,napa-2007.csv,90.0
0,napa-2013.csv,94.0
1,napa-2013.csv,91.0
0,sierra foothills-2020.csv,92.0
0,sierra foothills-2009.csv,90.0
0,napa-2012.csv,90.5
1,napa-2012.csv,91.0
0,napa-2006.csv,91.0
1,napa-2006.csv,86.0
1,RRV-2005.csv,93.0
1,RRV-2011.csv,89.0
0,sonoma-2013.csv,93.5
1,sonoma-2013.csv,95.0
0,sonoma-2007.csv,92.5
1,sonoma-2007.csv,95.0
